"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"UVR1H220MDD1TD","Nichicon","493-6098-1-ND","","","Cut Tape (CT)","Active","1","0.27000","$0.27","5185","21 Weeks","CAP ALUM 22UF 20% 50V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"302-S101","On Shore Technology Inc.","ED1543-ND","","","Bulk","Active","1","0.28000","$0.28","37383","9 Weeks","CONN HEADER VERT 10POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"L7805CV","STMicroelectronics","497-1443-5-ND","","","Tube","Active","1","0.50000","$0.50","44639","10 Weeks","IC REG LINEAR 5V 1.5A TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"4832.2211","Schurter Inc.","486-3418-ND","","","Bulk","Active","4","1.50000","$6.00","1118","23 Weeks","CONN JACK MONO 3.5MM PNL MNT","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603JR-071KL","Yageo","311-1.0KGRCT-ND","","","Cut Tape (CT)","Active","10","0.01700","$0.17","7042135","24 Weeks","RES SMD 1K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74LS153DR","Texas Instruments","296-SN74LS153DRCT-ND","","","Cut Tape (CT)","Active","1","0.93000","$0.93","2410","6 Weeks","IC MULTIPLEXER 2 X 4:1 16SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74HC14DR","Texas Instruments","296-1194-1-ND","","","Cut Tape (CT)","Active","1","0.41000","$0.41","117017","12 Weeks","IC INVERTER SCHMITT 6CH 14SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"BAT42W-TP","Micro Commercial Co","BAT42WTPMSCT-ND","","","Cut Tape (CT)","Active","5","0.37000","$1.85","76777","12 Weeks","DIODE SCHOTTKY 30V 200MA SOD123","ROHS3 Compliant","Lead free","REACH Unaffected"
"ANT11SEBQE","CIT Relay and Switch","2449-ANT11SEBQE-ND","","","Bulk","Active","8","1.64000","$13.12","292","8 Weeks","SWITCH TOGGLE SPDT SOLDER SEAL","RoHS Compliant","Not Available","Not Available"
